sample_id,sheet_id,iou,gt_pixels,pred_pixels,logit_max,centroid_distance_mask_px,centroid_distance_source_px,argmax_distance_mask_px,argmax_distance_source_px,class
train_K-35-51-B-a_4_000016,K-35-51-B-a,0.0,5,1,5.5661,1.342,12.35,1.342,12.35,near_miss
train_K-35-51-B-a_4_000017,K-35-51-B-a,0.166667,6,1,8.2953,1.118,10.29,1.118,10.29,hit
train_K-35-51-B-a_4_000018,K-35-51-B-a,0.0,2,0,-0.4225,,,2.062,18.98,near_miss
train_K-35-51-B-a_4_000019,K-35-51-B-a,0.714286,5,7,30.185,0.326,3.0,0.894,8.23,hit
train_K-35-51-B-a_4_000020,K-35-51-B-a,0.6,8,8,31.1514,0.125,1.15,0.884,8.14,hit
train_K-35-51-B-a_4_000021,K-35-51-B-a,0.181818,6,7,48.3193,1.836,16.9,2.911,26.79,hit
train_K-35-51-B-a_4_000022,K-35-51-B-a,0.0,7,2,24.6599,2.34,21.54,2.495,22.97,near_miss
train_K-35-51-B-a_4_000023,K-35-51-B-a,0.0,7,2,8.5332,1.693,15.59,2.124,19.55,near_miss
train_K-35-51-B-a_4_000024,K-35-51-B-a,0.333333,6,2,33.1784,0.687,6.33,0.236,2.17,hit
train_K-35-51-B-a_4_000025,K-35-51-B-a,0.333333,4,4,14.6759,0.791,7.28,0.707,6.51,hit
train_K-35-51-B-a_4_000026,K-35-51-B-a,0.3,9,4,17.3426,0.791,7.28,1.0,9.21,hit
train_K-35-51-B-a_4_000027,K-35-51-B-a,0.428571,4,6,62.2535,34.731,319.7,0.707,6.51,hit
train_K-35-51-B-a_4_000028,K-35-51-B-a,0.166667,6,1,13.3302,0.236,2.17,0.236,2.17,hit
